,game,model,experiment,episode,metric,value
130,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Violated Request Count,1.0
131,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Request Success Ratio,0.9583333333333334
132,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Aborted,0.0
133,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Lose,0.0
134,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Success,1.0
135,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Penalties,2.0
136,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Turn Count,11.0
137,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Initial Distance,21.970320244888892
138,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Total Distance,19.20663072597693
139,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Expected Distance Score,0.08327312896931705
140,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Distance Reduction Score,0.12579195424130873
141,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Distance Score,0.10453254160531289
142,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Penalty Score,0.8181818181818181
143,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Main Score,0.08552662494980146
144,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Request Count,31.0
145,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Parsed Request Count,31.0
146,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Violated Request Count,0.0
147,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Request Success Ratio,1.0
148,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Aborted,0.0
149,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Lose,0.0
150,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Success,1.0
151,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Penalties,9.0
152,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Turn Count,11.0
153,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Initial Distance,21.037640649633033
154,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Total Distance,18.97056274847714
155,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Expected Distance Score,0.09454058453981595
156,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Distance Reduction Score,0.09825616548840288
157,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Distance Score,0.09639837501410942
158,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Penalty Score,0.18181818181818177
159,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_0,Main Score,0.017526977275292618
160,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Request Count,22.0
161,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Parsed Request Count,22.0
162,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Violated Request Count,0.0
163,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Request Success Ratio,1.0
164,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Aborted,0.0
165,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Lose,1.0
166,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Success,1.0
167,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Penalties,2.0
168,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Turn Count,10.0
169,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Initial Distance,25.21747754732893
170,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Total Distance,27.62741699796952
171,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Expected Distance Score,0.0
172,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Distance Reduction Score,0.0
